Rank,Mode,Percentage,Category,Season
Bronze 1,Solo Duel,100.0,Standard,20
Bronze 2,Solo Duel,99.866,Standard,20
Bronze 3,Solo Duel,99.418,Standard,20
Silver 1,Solo Duel,98.311,Standard,20
Silver 2,Solo Duel,95.774,Standard,20
Silver 3,Solo Duel,91.241,Standard,20
Gold 1,Solo Duel,83.752,Standard,20
Gold 2,Solo Duel,72.498,Standard,20
Gold 3,Solo Duel,58.181,Standard,20
Platinum 1,Solo Duel,41.3,Standard,20
Platinum 2,Solo Duel,24.681,Standard,20
Platinum 3,Solo Duel,13.06,Standard,20
Diamond 1,Solo Duel,6.55,Standard,20
Diamond 2,Solo Duel,3.161,Standard,20
Diamond 3,Solo Duel,1.547,Standard,20
Champion 1,Solo Duel,0.751,Standard,20
Champion 2,Solo Duel,0.359,Standard,20
Champion 3,Solo Duel,0.175,Standard,20
GC 1,Solo Duel,0.086,Standard,20
GC 2,Solo Duel,0.041,Standard,20
GC 3,Solo Duel,0.02,Standard,20
SL,Solo Duel,0.01,Standard,20
Bronze 1,Standard,99.998,Standard,20
Bronze 2,Standard,99.884,Standard,20
Bronze 3,Standard,99.562,Standard,20
Silver 1,Standard,98.712,Standard,20
Silver 2,Standard,96.666,Standard,20
Silver 3,Standard,92.276,Standard,20
Gold 1,Standard,84.285,Standard,20
Gold 2,Standard,72.343,Standard,20
Gold 3,Standard,58.464,Standard,20
Platinum 1,Standard,45.225,Standard,20
Platinum 2,Standard,33.76,Standard,20
Platinum 3,Standard,24.939,Standard,20
Diamond 1,Standard,18.073,Standard,20
Diamond 2,Standard,11.293,Standard,20
Diamond 3,Standard,6.929,Standard,20
Champion 1,Standard,4.122,Standard,20
Champion 2,Standard,1.736,Standard,20
Champion 3,Standard,0.727,Standard,20
GC 1,Standard,0.281,Standard,20
GC 2,Standard,0.077,Standard,20
GC 3,Standard,0.016,Standard,20
SL,Standard,0.001,Standard,20
Bronze 1,Doubles,100.001,Standard,20
Bronze 2,Doubles,99.598,Standard,20
Bronze 3,Doubles,98.723,Standard,20
